Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,08:00,09h 30m,495,15 Seats available,"4.6
697",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,617,13 Seats available,"4.5
659",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,617,41 Seats available,"4.3
817",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:05,08:10,10h 05m,557,14 Seats available,"4.3
455",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25,07:25,08h 00m,495,36 Seats available,"3.6
392",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,06:00,08h 00m,529,27 Seats available,"3.2
362",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,10h 00m,INR 1500,31 Seats available,"2.0
38",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 1199,22 Seats available,"1.7
7",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,06:35,08h 40m,INR 800,12 Seats available,"4.5
515",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,04:50,08h 20m,553,21 Seats available,"4.4
434",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,INR 499,29 Seats available,"4.2
697",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,630,8 Seats available,"4.6
681",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:10,06h 10m,569,19 Seats available,"4.7
124",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),18:00,00:30,06h 30m,INR 499,11 Seats available,"4.8
67",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:30,03:50,06h 20m,538,5 Seats available,"4.6
112",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:30,03:15,05h 45m,569,22 Seats available,"4.4
126",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),18:15,01:10,06h 55m,INR 759,1 Seat available,"5.0
14",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),18:40,01:40,07h 00m,450,3 Seats available,"4.4
24",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),19:45,04:45,09h 00m,463,23 Seats available,"2.5
115",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),19:30,02:05,06h 35m,INR 746,13 Seats available,"4.4
8",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Zingbus Plus,Scania A/C Semi Sleeper (2+2),19:30,01:45,06h 15m,495,15 Seats available,"4.4
20",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),20:30,02:40,06h 10m,514,27 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:50,05:30,06h 40m,523,13 Seats available,"4.7
434",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),23:59,07:25,07h 26m,INR 475,18 Seats available,"3.4
40",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:25,07:00,08h 35m,463,28 Seats available,"3.5
199",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
TANISHQ HOLIDAYS TOUR,Volvo A/C Semi Sleeper (2+2),23:30,07:30,08h 00m,699,31 Seats available,"3.4
6",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Himgiri Adventure Tour,Bharat Benz A/C Semi Sleeper (2+2),22:00,07:15,09h 15m,INR 649,19 Seats available,"2.4
26",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
SWAGATAM TOUR HOLIDAY,Volvo AC Seater (2+2),23:59,07:00,07h 01m,INR 1499,35 Seats available,New,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Metahills holidays,Scania A/C Semi Sleeper (2+2),21:21,06:00,08h 39m,942,31 Seats available,3.5,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:35,07:10,08h 35m,509,22 Seats available,"3.2
70",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),23:45,08:00,08h 15m,516,41 Seats available,3.3,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Metahills holidays,Scania A/C Semi Sleeper (2+2),21:21,06:00,08h 39m,1169,26 Seats available,3.5,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:00,11:00,12h 00m,569,12 Seats available,"4.7
734",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,07:00,12h 00m,495,22 Seats available,"4.6
854",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,08:40,11h 40m,450,16 Seats available,"4.7
399",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
AdIntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),21:30,10:25,12h 55m,INR 509,26 Seats available,"4.6
518",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:45,11:10,12h 25m,428,29 Seats available,"4.6
732",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),22:15,09:40,11h 25m,428,29 Seats available,"4.6
544",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:20,07:40,11h 20m,INR 500,11 Seats available,"4.5
805",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
AdIntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),20:30,09:25,12h 55m,INR 509,15 Seats available,"4.5
456",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:30,09:00,11h 30m,406,16 Seats available,"4.5
601",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,07:30,11h 00m,420,6 Seats available,"4.6
521",https://www.redbus.in/bus-tickets/delhi-to-manali,Delhi to Manali
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,01:15,04h 55m,522,20 Seats available,"4.4
12",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:40,02:05,04h 25m,INR 600,15 Seats available,"4.7
12",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,05h 10m,INR 650,25 Seats available,4.5,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:00,05:35,08h 35m,INR 550,23 Seats available,"4.7
402",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),21:00,06:10,09h 10m,569,27 Seats available,"4.4
406",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,06:40,08h 40m,INR 810,22 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
Zingbus Plus,Volvo Multi-Axle A/C Semisleeper (2+2),22:05,08:20,10h 15m,1021,30 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
Everest Holidays,Volvo A/C Semi Sleeper (2+2),22:00,08:00,10h 00m,674,30 Seats available,3.4,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
